testCaseType,testTitle,testConf_01,testConf_02,testConf_03,testConf_04,testConf_05,waitTime
//名前検証_TC051,,,,,,,0
TESTGUESTNAME,NameTest_TC051,username,,,,,1000
//確認のご連絡検証_TC051,,,,,,,0
TESTCONTACT,contactTest_TC051,contact,電話,,,,1000
//ご要望の検証_TC051,,,,,,,
TESTTEXTID,commentTest_TC051,comment,,,,,1000
//予約確定_TC051,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC051,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC051,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC051,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC052,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=3,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTSATURDAY,reserveDate_TC052,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC052,term,1,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC052,head-count,9,,,,1000
EVENTCHECKBOX,Breakfast_TC052,breakfast,off,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC052,early-check-in,on,,,,1000
EVENTCHECKBOX,SightSeeing_TC052,sightseeing,on,,,,1000
EVENTTEXTINPUT,GuestName_TC052,username,,,,,1000
EVENTDROPDOWN,Contact_TC052,contact,希望しない,,,,1000
EVENTTEXTINPUT,CommentTest,comment,,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC052,total-bill,85500,,,,1000
//部屋情報検証_TC052,,,,,,,0
TESTTEXTID,roomTypeTest_TC052,room-info,部屋指定なし,,,,1000
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC052,,,,,,,0
TESTPRICE,TestPrice_TC052,total-bill,85500,,,,1000
//期間検証_TC052,,,,,,,0
TESTTERM,reserveTermTest_TC052,term,,,,,1000
//人数検証_TC052,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC052,head-count,9名様,,,,1000
//追加プラン検証_TC052,,,,,,,0
TESTTEXTX,optionPlanTest01_TC052,//*[@id="plans"]/ul/li[1],昼からチェックインプラン,,,,1000
TESTTEXTX,optionPlanTest02_TC052,//*[@id="plans"]/ul/li[2],お得な観光プラン,,,,1000
//名前検証_TC052,,,,,,,0
TESTGUESTNAME,NameTest_TC052,username,,,,,1000
//確認のご連絡検証_TC052,,,,,,,0
TESTCONTACT,contactTest_TC052,contact,希望しない,,,,1000
//ご要望の検証_TC052,,,,,,,
TESTTEXTID,commentTest_TC052,comment,,,,,1000
//予約確定_TC052,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC052,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC052,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC052,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC053,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=3,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTSUNDAY,reserveDate_TC053,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC053,term,9,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC053,head-count,1,,,,1000
EVENTCHECKBOX,Breakfast_TC053,breakfast,on,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC053,early-check-in,on,,,,1000
EVENTCHECKBOX,SightSeeing_TC053,sightseeing,off,,,,1000
EVENTTEXTINPUT,GuestName_TC053,username,,,,,1000
EVENTDROPDOWN,Contact_TC053,contact,電話でのご連絡,,,,1000
EVENTTEXTINPUT,CommentTest,comment,,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC053,total-bill,68500,,,,1000
//部屋情報検証_TC053,,,,,,,0
TESTTEXTID,roomTypeTest_TC053,room-info,部屋指定なし,,,,1000
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC053,,,,,,,0
TESTPRICE,TestPrice_TC053,total-bill,68500,,,,1000
//期間検証_TC053,,,,,,,0
TESTTERM,reserveTermTest_TC053,term,,,,,1000
//人数検証_TC053,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC053,head-count,1名様,,,,1000
//追加プラン検証_TC053,,,,,,,0
TESTTEXTX,optionPlanTest01_TC053,//*[@id="plans"]/ul/li[1],朝食バイキング,,,,1000
TESTTEXTX,optionPlanTest02_TC053,//*[@id="plans"]/ul/li[2],昼からチェックインプラン,,,,1000
//名前検証_TC053,,,,,,,0
TESTGUESTNAME,NameTest_TC053,username,,,,,1000
//確認のご連絡検証_TC053,,,,,,,0
TESTCONTACT,contactTest_TC053,contact,電話,,,,1000
//ご要望の検証_TC053,,,,,,,
TESTTEXTID,commentTest_TC053,comment,,,,,1000
//予約確定_TC053,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC053,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC053,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC053,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC054,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=0,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTMONDAY,reserveDate_TC054,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC054,term,1,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC054,head-count,1,,,,1000
EVENTCHECKBOX,Breakfast_TC054,breakfast,on,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC054,early-check-in,on,,,,1000
EVENTCHECKBOX,SightSeeing_TC054,sightseeing,on,,,,1000
EVENTTEXTINPUT,GuestName_TC054,username,,,,,1000
EVENTDROPDOWN,Contact_TC054,contact,希望しない,,,,1000
EVENTTEXTINPUT,CommentTest,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC054,total-bill,10000,,,,1000
//部屋情報検証_TC054,,,,,,,0
FRAME,,room,,,,,780
TESTTEXTX,roomTypeTest_TC054,/html/body/div/div[1]/div/h5,スタンダードツイン,,,,1000
FRAMEDEFAULT,,,,,,,750
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC054,,,,,,,0
TESTPRICE,TestPrice_TC054,total-bill,10000,,,,1000
//期間検証_TC054,,,,,,,0
TESTTERM,reserveTermTest_TC054,term,,,,,1000
//人数検証_TC054,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC054,head-count,1名様,,,,1000
//追加プラン検証_TC054,,,,,,,0
TESTTEXTX,optionPlanTest01_TC054,//*[@id="plans"]/ul/li[1],朝食バイキング,,,,1000
TESTTEXTX,optionPlanTest02_TC054,//*[@id="plans"]/ul/li[2],昼からチェックインプラン,,,,1000
//名前検証_TC054,,,,,,,0
TESTGUESTNAME,NameTest_TC054,username,,,,,1000
//確認のご連絡検証_TC054,,,,,,,0
TESTCONTACT,contactTest_TC054,contact,希望しない,,,,1000
//ご要望の検証_TC054,,,,,,,
TESTTEXTID,commentTest_TC054,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1000
//予約確定_TC054,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC054,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC054,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC054,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC055,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=8,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTFRIDAY,reserveDate_TC055,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC055,term,2,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC055,head-count,2,,,,1000
EVENTCHECKBOX,Breakfast_TC055,breakfast,off,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC055,early-check-in,on,,,,1000
EVENTCHECKBOX,SightSeeing_TC055,sightseeing,on,,,,1000
EVENTTEXTINPUT,GuestName_TC055,username,,,,,1000
EVENTDROPDOWN,Contact_TC055,contact,希望しない,,,,1000
EVENTTEXTINPUT,CommentTest,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC055,total-bill,40000,,,,1000
//部屋情報検証_TC055,,,,,,,0
FRAME,,room,,,,,780
TESTTEXTX,roomTypeTest_TC055,/html/body/div/div[1]/div/h5,プレミアムツイン,,,,1000
FRAMEDEFAULT,,,,,,,750
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC055,,,,,,,0
TESTPRICE,TestPrice_TC055,total-bill,40000,,,,1000
//期間検証_TC055,,,,,,,0
TESTTERM,reserveTermTest_TC055,term,,,,,1000
//人数検証_TC055,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC055,head-count,2名様,,,,1000
//追加プラン検証_TC055,,,,,,,0
TESTTEXTX,optionPlanTest01_TC055,//*[@id="plans"]/ul/li[1],昼からチェックインプラン,,,,1000
TESTTEXTX,optionPlanTest02_TC055,//*[@id="plans"]/ul/li[2],お得な観光プラン,,,,1000
//名前検証_TC055,,,,,,,0
TESTGUESTNAME,NameTest_TC055,username,,,,,1000
//確認のご連絡検証_TC055,,,,,,,0
TESTCONTACT,contactTest_TC055,contact,希望しない,,,,1000
//ご要望の検証_TC055,,,,,,,
TESTTEXTID,commentTest_TC055,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1000
//予約確定_TC055,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC055,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC055,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC055,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC056,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=8,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTTUESDAY,reserveDate_TC056,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC056,term,2,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC056,head-count,2,,,,1000
EVENTCHECKBOX,Breakfast_TC056,breakfast,on,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC056,early-check-in,on,,,,1000
EVENTCHECKBOX,SightSeeing_TC056,sightseeing,on,,,,1000
EVENTTEXTINPUT,GuestName_TC056,username,,,,,1000
EVENTDROPDOWN,Contact_TC056,contact,電話でのご連絡,,,,1000
EVENTTEXTINPUT,CommentTest,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC056,total-bill,40000,,,,1000
//部屋情報検証_TC056,,,,,,,0
FRAME,,room,,,,,780
TESTTEXTX,roomTypeTest_TC056,/html/body/div/div[1]/div/h5,プレミアムツイン,,,,1000
FRAMEDEFAULT,,,,,,,750
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC056,,,,,,,0
TESTPRICE,TestPrice_TC056,total-bill,40000,,,,1000
//期間検証_TC056,,,,,,,0
TESTTERM,reserveTermTest_TC056,term,,,,,1000
//人数検証_TC056,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC056,head-count,2名様,,,,1000
//追加プラン検証_TC056,,,,,,,0
TESTTEXTX,optionPlanTest01_TC056,//*[@id="plans"]/ul/li[1],朝食バイキング,,,,1000
TESTTEXTX,optionPlanTest02_TC056,//*[@id="plans"]/ul/li[2],昼からチェックインプラン,,,,1000
//名前検証_TC056,,,,,,,0
TESTGUESTNAME,NameTest_TC056,username,,,,,1000
//確認のご連絡検証_TC056,,,,,,,0
TESTCONTACT,contactTest_TC056,contact,電話,,,,1000
//ご要望の検証_TC056,,,,,,,
TESTTEXTID,commentTest_TC056,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1000
//予約確定_TC056,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC056,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC056,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC056,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC057,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=2,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTSATURDAY,reserveDate_TC057,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC057,term,1,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC057,head-count,4,,,,1000
EVENTCHECKBOX,Breakfast_TC057,breakfast,off,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC057,early-check-in,off,,,,1000
EVENTCHECKBOX,SightSeeing_TC057,sightseeing,on,,,,1000
EVENTTEXTINPUT,GuestName_TC057,username,,,,,1000
EVENTDROPDOWN,Contact_TC057,contact,メールでのご連絡,,,,1000
EVENTTEXTINPUT,CommentTest,comment,,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC057,total-bill,46500,,,,1000
//部屋情報検証_TC057,,,,,,,0
TESTTEXTID,roomTypeTest_TC057,room-info,部屋指定なし,,,,1000
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC057,,,,,,,0
TESTPRICE,TestPrice_TC057,total-bill,46500,,,,1000
//期間検証_TC057,,,,,,,0
TESTTERM,reserveTermTest_TC057,term,,,,,1000
//人数検証_TC057,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC057,head-count,4名様,,,,1000
//追加プラン検証_TC057,,,,,,,0
TESTTEXTX,optionPlanTest01_TC057,//*[@id="plans"]/ul/li,お得な観光プラン,,,,1000
//名前検証_TC057,,,,,,,0
TESTGUESTNAME,NameTest_TC057,username,,,,,1000
//確認のご連絡検証_TC057,,,,,,,0
TESTCONTACT,contactTest_TC057,contact,メール,,,,1000
//ご要望の検証_TC057,,,,,,,
TESTTEXTID,commentTest_TC057,comment,,,,,1000
//予約確定_TC057,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC057,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC057,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC057,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC058,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=2,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTTHURSDAY,reserveDate_TC058,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC058,term,3,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC058,head-count,4,,,,1000
EVENTCHECKBOX,Breakfast_TC058,breakfast,on,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC058,early-check-in,on,,,,1000
EVENTCHECKBOX,SightSeeing_TC058,sightseeing,off,,,,1000
EVENTTEXTINPUT,GuestName_TC058,username,,,,,1000
EVENTDROPDOWN,Contact_TC058,contact,電話でのご連絡,,,,1000
EVENTTEXTINPUT,CommentTest,comment,,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC058,total-bill,126500,,,,1000
//部屋情報検証_TC058,,,,,,,0
TESTTEXTID,roomTypeTest_TC058,room-info,部屋指定なし,,,,1000
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC058,,,,,,,0
TESTPRICE,TestPrice_TC058,total-bill,126500,,,,1000
//期間検証_TC058,,,,,,,0
TESTTERM,reserveTermTest_TC058,term,,,,,1000
//人数検証_TC058,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC058,head-count,4名様,,,,1000
//追加プラン検証_TC058,,,,,,,0
TESTTEXTX,optionPlanTest01_TC058,//*[@id="plans"]/ul/li[1],朝食バイキング,,,,1000
TESTTEXTX,optionPlanTest02_TC058,//*[@id="plans"]/ul/li[2],昼からチェックインプラン,,,,1000
//名前検証_TC058,,,,,,,0
TESTGUESTNAME,NameTest_TC058,username,,,,,1000
//確認のご連絡検証_TC058,,,,,,,0
TESTCONTACT,contactTest_TC058,contact,電話,,,,1000
//ご要望の検証_TC058,,,,,,,
TESTTEXTID,commentTest_TC058,comment,,,,,1000
//予約確定_TC058,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC058,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC058,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC058,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC059,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=9,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTMONDAY,reserveDate_TC059,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC059,term,5,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC059,head-count,1,,,,1000
EVENTCHECKBOX,Breakfast_TC059,breakfast,on,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC059,early-check-in,on,,,,1000
EVENTCHECKBOX,SightSeeing_TC059,sightseeing,off,,,,1000
EVENTTEXTINPUT,GuestName_TC059,username,,,,,1000
EVENTDROPDOWN,Contact_TC059,contact,メールでのご連絡,,,,1000
EVENTTEXTINPUT,CommentTest,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC059,total-bill,56000,,,,1000
//部屋情報検証_TC059,,,,,,,0
TESTTEXTID,roomTypeTest_TC059,room-info,部屋指定なし,,,,1000
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC059,,,,,,,0
TESTPRICE,TestPrice_TC059,total-bill,56000,,,,1000
//期間検証_TC059,,,,,,,0
TESTTERM,reserveTermTest_TC059,term,,,,,1000
//人数検証_TC059,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC059,head-count,1名様,,,,1000
//追加プラン検証_TC059,,,,,,,0
TESTTEXTX,optionPlanTest01_TC059,//*[@id="plans"]/ul/li[1],朝食バイキング,,,,1000
TESTTEXTX,optionPlanTest02_TC059,//*[@id="plans"]/ul/li[2],昼からチェックインプラン,,,,1000
//名前検証_TC059,,,,,,,0
TESTGUESTNAME,NameTest_TC059,username,,,,,1000
//確認のご連絡検証_TC059,,,,,,,0
TESTCONTACT,contactTest_TC059,contact,メール,,,,1000
//ご要望の検証_TC059,,,,,,,
TESTTEXTID,commentTest_TC059,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1000
//予約確定_TC059,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC059,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC059,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC059,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC060,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=9,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTTHURSDAY,reserveDate_TC060,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC060,term,5,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC060,head-count,1,,,,1000
EVENTCHECKBOX,Breakfast_TC060,breakfast,off,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC060,early-check-in,off,,,,1000
EVENTCHECKBOX,SightSeeing_TC060,sightseeing,off,,,,1000
EVENTTEXTINPUT,GuestName_TC060,username,,,,,1000
EVENTDROPDOWN,Contact_TC060,contact,希望しない,,,,1000
EVENTTEXTINPUT,CommentTest,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1200
GETRESERVEUSER,,username,contact,email,tel,,1000
TESTPRICE,TestPrice_TC060,total-bill,55000,,,,1000
//部屋情報検証_TC060,,,,,,,0
TESTTEXTID,roomTypeTest_TC060,room-info,部屋指定なし,,,,1000
EVENTID,GoToNext,submit-button,,,,,1150
//合計金額検証_TC060,,,,,,,0
TESTPRICE,TestPrice_TC060,total-bill,55000,,,,1000
//期間検証_TC060,,,,,,,0
TESTTERM,reserveTermTest_TC060,term,,,,,1000
//人数検証_TC060,,,,,,,0
TESTTEXTID,reserveHeadCountTest_TC060,head-count,1名様,,,,1000
//追加プラン検証_TC060,,,,,,,0
TESTTEXTX,optionPlanTest01_TC060,//*[@id="plans"],なし,,,,1000
//名前検証_TC060,,,,,,,0
TESTGUESTNAME,NameTest_TC060,username,,,,,1000
//確認のご連絡検証_TC060,,,,,,,0
TESTCONTACT,contactTest_TC060,contact,希望しない,,,,1000
//ご要望の検証_TC060,,,,,,,
TESTTEXTID,commentTest_TC060,comment,123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC12345678,,,,1000
//予約確定_TC060,,,,,,,
EVENTX,ReserveFix_,//button[@type='button'],,,,,1250
TESTTEXTX,reservedMessageTest_TC060,//div[@id='success-modal']/div/div/div/h5,予約を完了しました,,,,1260
TESTTEXTX,reserveThanksTest_TC060,//div[@id='success-modal']/div/div/div[2]/p,ご来館、心よりお待ちしております。,,,,1270
EVENTX,reservePageClose_TC060,(//button[@type='button'])[3],,,,,1280
PARENTACTIVE,,,,,,,1000
REFRESH,,,,,,,
//TC061,,,,,,,0
EVENTLINK,,宿泊予約,,,,,1100
EVENTLINKHREF,,./reserve.html?plan-id=9,,,,,3000
PARENT,,,,,,,850
CHILD,,,,,,,850
EVENTWEDNESDAY,reserveDate_TC061,date,,,,,1050
EVENTX,,//div[@id='ui-datepicker-div']/div[2]/button,,,,,1000
EVENTTERM,reserveTermTest_TC061,term,5,,,,1000
EVENTTEXTINPUT,reserveHeadCountTest_TC061,head-count,1,,,,1000
EVENTCHECKBOX,Breakfast_TC061,breakfast,off,,,,1000
EVENTCHECKBOX,EarlyCheckIn_TC061,early-check-in,off,,,,1000
EVENTCHECKBOX,SightSeeing_TC061,sightseeing,on,,,,1000
EVENTTEXTINPUT,GuestName_TC061,username,,,,,1000
EVENTDROPDOWN,Contact_TC061,contact,電話でのご連絡,,,,1000
